id,date,subject,counterbalance,condition,session,trial,side_dropped_stone,got_two_rewards,platforms_stabilized,comment
114,13.05.2022,nani,controlfirst,test,3,2,right,yes,one,
115,13.05.2022,nani,controlfirst,test,3,3,left,yes,two,
116,13.05.2022,nani,controlfirst,test,3,4,left,yes,two,
117,13.05.2022,nani,controlfirst,test,3,5,left,yes,two,
118,13.05.2022,nani,controlfirst,test,3,6,right,yes,two,
119,13.05.2022,nani,controlfirst,test,3,7,left,yes,two,
120,13.05.2022,nani,controlfirst,test,3,8,right,yes,two,
121,14.05.2022,nani,controlfirst,test,4,1,left,yes,two,
122,14.05.2022,nani,controlfirst,test,4,2,left,yes,two,
123,14.05.2022,nani,controlfirst,test,4,3,left,yes,two,
124,14.05.2022,nani,controlfirst,test,4,4,right,yes,one,
125,14.05.2022,nani,controlfirst,test,4,5,left,yes,two,
126,14.05.2022,nani,controlfirst,test,4,6,right,yes,two,
127,14.05.2022,nani,controlfirst,test,4,7,right,yes,two,
128,14.05.2022,nani,controlfirst,test,4,8,left,yes,two,
129,12.05.2022,nkumwa,testfirst,test,1,1,left,no,one,
130,12.05.2022,nkumwa,testfirst,test,1,2,left,yes,two,
131,12.05.2022,nkumwa,testfirst,test,1,3,right,yes,two,
132,12.05.2022,nkumwa,testfirst,test,1,4,left,yes,two,
133,12.05.2022,nkumwa,testfirst,test,1,5,right,yes,one,
134,12.05.2022,nkumwa,testfirst,test,1,6,left,no,one,
135,12.05.2022,nkumwa,testfirst,test,1,7,left,yes,two,
136,12.05.2022,nkumwa,testfirst,test,1,8,left,yes,two,
137,13.05.2022,nkumwa,testfirst,test,2,1,left,yes,two,
138,13.05.2022,nkumwa,testfirst,test,2,2,left,yes,two,
139,13.05.2022,nkumwa,testfirst,test,2,3,left,yes,two,
140,13.05.2022,nkumwa,testfirst,test,2,4,left,yes,two,
141,13.05.2022,nkumwa,testfirst,test,2,5,left,yes,two,
142,13.05.2022,nkumwa,testfirst,test,2,6,left,yes,two,
143,13.05.2022,nkumwa,testfirst,test,2,7,left,yes,two,
144,13.05.2022,nkumwa,testfirst,test,2,8,left,yes,two,
145,14.05.2022,nkumwa,testfirst,control,3,1,right,yes,one,
146,14.05.2022,nkumwa,testfirst,control,3,2,right,yes,two,
147,14.05.2022,nkumwa,testfirst,control,3,3,right,yes,one,
148,14.05.2022,nkumwa,testfirst,control,3,4,right,yes,two,
149,14.05.2022,nkumwa,testfirst,control,3,5,right,yes,one,
150,14.05.2022,nkumwa,testfirst,control,3,6,right,yes,one,
151,14.05.2022,nkumwa,testfirst,control,3,7,right,yes,one,
152,14.05.2022,nkumwa,testfirst,control,3,8,right,yes,one,
